obs_datetime_utc,weight,ra_deg,dec_deg,ra_hms,dec_dms,dra_cosd,ddec_dt,ra_3sigma,dec_3sigma,smaa_3sig,smia_3sig,theta,area_3sig
2025-12-20 08:48:41,0.6833333333333333,160.21218055555556,7.539893055555556,10h40m50.923s,+07d32m23.615s,-175.95136666666667,59.32543683333333,0.338,0.181,0.353,0.149,-18.683,0.16543798833333334
2025-12-20 08:49:26,0.43333333333333335,160.2115736111111,7.540092592592592,10h40m50.778s,+07d32m24.333s,-175.9533,59.32499433333333,0.338,0.181,0.353,0.149,-18.683,0.16544800666666667
2025-12-20 08:50:24,0.4,160.21079166666667,7.54036111111111,10h40m50.590s,+07d32m25.300s,-175.9558,59.324424,0.338,0.181,0.353,0.149,-18.683,0.16546092
2025-12-20 08:51:08,0.13333333333333333,160.21018055555555,7.5405648148148146,10h40m50.443s,+07d32m26.033s,-175.95726666666667,59.32399133333333,0.338,0.181,0.353,0.149,-18.683,0.16547068666666667
2025-12-20 08:51:53,0.8833333333333333,160.20955555555554,7.540773148148148,10h40m50.293s,+07d32m26.783s,-175.95876666666666,59.323548833333334,0.338,0.181,0.353,0.149,-18.683,0.16548073666666666
2025-12-20 08:52:51,0.85,160.20874999999998,7.541041666666667,10h40m50.100s,+07d32m27.750s,-175.9607,59.322978500000005,0.338,0.181,0.353,0.149,-18.683,0.165493605
2025-12-20 08:53:36,0.6,160.20815,7.54125,10h40m49.956s,+07d32m28.500s,-175.9622,59.322536,0.338,0.181,0.353,0.149,-18.683,0.16550363999999998
2025-12-20 08:54:20,0.3333333333333333,160.20755555555556,7.541453703703703,10h40m49.813s,+07d32m29.233s,-175.96366666666665,59.3221,0.338,0.181,0.353,0.149,-18.682666666666666,0.16551343333333332
2025-12-20 08:55:18,0.3,160.20675,7.541713888888888,10h40m49.620s,+07d32m30.170s,-175.9656,59.321523,0.338,0.181,0.353,0.149,-18.682,0.16552632
2025-12-20 08:56:03,0.05,160.2061270833333,7.541902777777778,10h40m49.470s,+07d32m30.850s,-175.96715,59.321079999999995,0.338,0.181,0.353,0.149,-18.682,0.16553636500000002
2025-12-20 08:56:47,0.7833333333333333,160.20554652777776,7.542106481481482,10h40m49.331s,+07d32m31.583s,-175.96935,59.32064,0.338,0.181,0.353,0.149,-18.682,0.16554611833333333
2025-12-20 08:57:45,0.75,160.20475,7.542375,10h40m49.140s,+07d32m32.550s,-175.9715,59.32006,0.338,0.181,0.353,0.149,-18.682,0.16555904999999999
2025-12-20 08:58:30,0.5,160.204125,7.542583333333333,10h40m48.990s,+07d32m33.300s,-175.973,59.319615,0.338,0.181,0.353,0.149,-18.682,0.16556905
2025-12-20 08:59:14,0.23333333333333334,160.2035138888889,7.542787037037037,10h40m48.843s,+07d32m34.033s,-175.97446666666667,59.319179999999996,0.338,0.181,0.353,0.149,-18.682,0.16557882666666665
2025-12-20 09:02:49,0.8166666666666667,160.20056944444443,7.543759722222222,10h40m48.137s,+07d32m37.535s,-175.98163333333332,59.31703,0.338,0.181,0.353,0.149,-18.682,0.16562666166666667
2025-12-20 09:03:34,0.5666666666666667,160.19994444444444,7.543962962962962,10h40m47.987s,+07d32m38.267s,-175.98256666666666,59.31658,0.338,0.181,0.353,0.149,-18.682,0.16563669333333333
2025-12-20 09:04:20,0.3333333333333333,160.19931944444443,7.544175925925925,10h40m47.837s,+07d32m39.033s,-175.98366666666666,59.31612,0.338,0.181,0.353,0.149,-18.681666666666665,0.16564696666666667
2025-12-20 09:08:27,0.45,160.19595833333332,7.545319444444444,10h40m47.030s,+07d32m43.150s,-175.99190000000002,59.3136355,0.338,0.181,0.353,0.149,-18.681,0.16570193
2025-12-20 09:09:21,0.35,160.1952083333333,7.545559722222222,10h40m46.850s,+07d32m44.015s,-175.9937,59.313089999999995,0.338,0.181,0.353,0.149,-18.681,0.165713955
2025-12-20 09:10:15,0.25,160.19445833333333,7.545791666666667,10h40m46.670s,+07d32m44.850s,-175.99525,59.3125475,0.338,0.181,0.353,0.149,-18.681,0.16572595
2025-12-20 09:11:30,0.5,160.1934375,7.546138888888889,10h40m46.425s,+07d32m46.100s,-175.997,59.311785,0.338,0.181,0.353,0.149,-18.681,0.1657427
2025-12-20 09:12:24,0.4,160.19270833333331,7.546388888888889,10h40m46.250s,+07d32m47.000s,-175.9988,59.31124,0.338,0.181,0.353,0.149,-18.681,0.16575472
2025-12-20 09:13:17,0.2833333333333333,160.1919722222222,7.546634259259259,10h40m46.073s,+07d32m47.883s,-176.00056666666666,59.31070716666667,0.338,0.181,0.353,0.149,-18.681,0.16576649666666668
2025-12-20 09:17:12,0.2,160.18874999999997,7.547694444444445,10h40m45.300s,+07d32m51.700s,-176.0072,59.308318,0.338,0.181,0.353,0.149,-18.68,0.16581885999999998
2025-12-20 09:18:32,0.5333333333333333,160.1876388888889,7.548064814814815,10h40m45.033s,+07d32m53.033s,-176.00906666666666,59.30750466666667,0.338,0.181,0.353,0.149,-18.68,0.16583664666666664
2025-12-20 09:19:26,0.43333333333333335,160.18690694444444,7.548314814814815,10h40m44.858s,+07d32m53.933s,-176.01086666666666,59.30695566666667,0.338,0.181,0.3534333333333333,0.149,-18.68,0.16584870666666668
2025-12-20 09:23:22,0.36666666666666664,160.18369444444443,7.549397222222222,10h40m44.087s,+07d32m57.830s,-176.01673333333332,59.30454266666666,0.338,0.181,0.354,0.149,-18.68,0.16590127666666665
